review_text,image_path,tech_empowerment,visitor_experience,cultural_value,economic_social_gain,interaction_count,stay_duration,target_score
数字导览讲解清晰，文化故事更容易理解，沉浸感很强。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_000.png,75.77,62.51,77.45,92.46,27,49.15,75.3
导览响应慢，推荐内容重复，影响游览节奏。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_001.png,72.71,56.13,39.84,43.42,25,32.45,53.41
设备识别偶尔出错，沉浸感不足，停留意愿较低。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_002.png,70.9,56.62,63.05,23.73,26,41.69,50.24
交互功能不稳定，游客体验一般，文化信息传达不够充分。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_003.png,70.66,62.89,62.02,46.64,25,42.81,61.77
交互功能不稳定，游客体验一般，文化信息传达不够充分。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_004.png,60.8,55.72,71.83,80.95,26,45.42,67.42
交互功能不稳定，游客体验一般，文化信息传达不够充分。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_005.png,77.87,45.96,69.8,37.58,22,40.53,59.56
导览响应慢，推荐内容重复，影响游览节奏。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_006.png,65.88,66.2,63.08,86.02,29,42.87,71.31
导览响应慢，推荐内容重复，影响游览节奏。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_007.png,50.26,59.58,68.27,47.6,27,48.89,55.9
智能服务形式大于内容，文化理解帮助有限。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_008.png,57.88,77.99,47.35,51.73,29,35.48,59.0
数字导览讲解清晰，文化故事更容易理解，沉浸感很强。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_009.png,78.73,80.98,78.73,77.1,30,48.56,78.39
导览响应慢，推荐内容重复，影响游览节奏。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_010.png,85.63,62.98,56.55,39.52,27,45.63,65.0
导览响应慢，推荐内容重复，影响游览节奏。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_011.png,56.79,84.25,39.33,77.68,34,33.7,61.65
AI讲解员互动自然，游客停留时间明显变长，体验很好。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_012.png,78.84,83.76,48.72,62.38,32,32.44,66.84
AI讲解员互动自然，游客停留时间明显变长，体验很好。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_013.png,71.52,79.83,94.34,79.93,32,56.51,80.0
数字导览讲解清晰，文化故事更容易理解，沉浸感很强。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_014.png,69.16,74.24,62.05,81.37,28,41.94,68.88
交互功能不稳定，游客体验一般，文化信息传达不够充分。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_015.png,69.52,46.66,49.76,37.01,22,36.93,57.15
沉浸式光影与智能问答配合顺畅，参观过程很投入。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_016.png,70.58,62.01,76.79,21.55,25,53.77,57.37
交互功能不稳定，游客体验一般，文化信息传达不够充分。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_017.png,81.04,50.2,57.31,82.1,22,40.54,64.95
沉浸式光影与智能问答配合顺畅，参观过程很投入。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_018.png,38.01,84.18,91.5,91.61,33,59.87,82.65
设备识别偶尔出错，沉浸感不足，停留意愿较低。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_019.png,66.35,52.97,50.17,90.03,23,38.23,62.81
导览响应慢，推荐内容重复，影响游览节奏。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_020.png,77.48,43.45,70.42,70.63,21,44.64,61.65
交互功能不稳定，游客体验一般，文化信息传达不够充分。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_021.png,55.25,66.23,46.74,71.47,27,40.68,56.32
沉浸式光影与智能问答配合顺畅，参观过程很投入。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_022.png,57.95,81.68,77.23,75.54,33,50.94,78.89
设备识别偶尔出错，沉浸感不足，停留意愿较低。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_023.png,80.01,67.14,44.34,65.05,28,32.41,61.75
展陈内容和智能推荐结合得不错，既方便又有文化深度。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_024.png,71.01,70.35,77.83,68.93,30,50.72,70.28
AI讲解员互动自然，游客停留时间明显变长，体验很好。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_025.png,70.1,80.25,73.39,37.66,30,52.0,70.42
交互功能不稳定，游客体验一般，文化信息传达不够充分。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_026.png,84.12,64.54,50.05,47.31,29,40.84,59.05
展陈内容和智能推荐结合得不错，既方便又有文化深度。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_027.png,74.48,67.65,100.0,32.03,28,61.24,71.26
导览响应慢，推荐内容重复，影响游览节奏。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_028.png,84.37,49.75,40.95,85.44,24,34.94,61.96
数字导览讲解清晰，文化故事更容易理解，沉浸感很强。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_029.png,46.6,72.14,92.2,57.14,32,58.01,69.35
沉浸式光影与智能问答配合顺畅，参观过程很投入。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_030.png,62.57,78.33,68.14,77.54,31,44.64,74.51
导览响应慢，推荐内容重复，影响游览节奏。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_031.png,70.08,42.58,73.21,69.71,21,48.41,60.8
设备识别偶尔出错，沉浸感不足，停留意愿较低。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_032.png,78.59,46.51,57.17,53.01,25,38.54,60.07
设备识别偶尔出错，沉浸感不足，停留意愿较低。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_033.png,75.88,34.55,60.0,33.28,21,43.48,48.2
展陈内容和智能推荐结合得不错，既方便又有文化深度。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_034.png,53.6,100.0,46.59,86.03,35,36.39,71.1
导览响应慢，推荐内容重复，影响游览节奏。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_035.png,86.72,58.97,56.6,64.57,27,36.66,68.02
沉浸式光影与智能问答配合顺畅，参观过程很投入。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_036.png,87.97,72.88,64.13,47.22,30,42.4,68.75
导览响应慢，推荐内容重复，影响游览节奏。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_037.png,74.06,62.93,58.11,79.32,25,40.15,64.04
智能服务形式大于内容，文化理解帮助有限。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_038.png,70.21,58.82,46.77,73.56,28,36.73,67.64
数字导览讲解清晰，文化故事更容易理解，沉浸感很强。,C:\Users\lenovo\Desktop\AICT\examples\demo_images\scene_039.png,59.23,98.19,50.1,36.4,35,43.16,61.91
